County,Cost,State,Income
Union,"1,316",Pennsylvania,"51,089"
Venango,"1,233",Pennsylvania,"48,663"
Warren,"1,153",Pennsylvania,"49,117"
Washington,786,Pennsylvania,"66,276"
Wayne,"1,774",Pennsylvania,"53,076"
Westmoreland,"1,206",Pennsylvania,"59,493"
Wyoming,"1,631",Pennsylvania,"54,361"
York,"1,729",Pennsylvania,"57,321"
Adams,"1,499",Wisconsin,"44,696"
Ashland,"1,193",Wisconsin,"46,014"
Barron,"1,355",Wisconsin,"58,029"
Bayfield,"1,193",Wisconsin,"52,963"
Brown,"1,457",Wisconsin,"62,519"
Buffalo,"1,506",Wisconsin,"55,319"
Burnett,"1,317",Wisconsin,"48,081"
Calumet,"1,276",Wisconsin,"58,999"
Chippewa,"1,323",Wisconsin,"54,474"
Clark,"1,087",Wisconsin,"51,365"
Columbia,"1,501",Wisconsin,"61,542"
Crawford,"1,525",Wisconsin,"50,741"
Dane,"1,496",Wisconsin,"73,726"
Dodge,"1,741",Wisconsin,"52,398"
Door,"1,517",Wisconsin,"71,130"
Douglas,"1,193",Wisconsin,"49,469"
Dunn,"1,482",Wisconsin,"49,324"
EauClaire,"1,449",Wisconsin,"57,320"
Florence,"1,486",Wisconsin,"62,285"
FondduLac,"1,428",Wisconsin,"58,204"
Forest,"1,441",Wisconsin,"45,248"
Grant,"1,525",Wisconsin,"52,264"
Green,"1,664",Wisconsin,"61,416"
GreenLake,"1,530",Wisconsin,"51,819"
Iowa,"1,502",Wisconsin,"58,797"
Iron,"1,217",Wisconsin,"53,626"
Jackson,"1,160",Wisconsin,"50,097"
Jefferson,"1,737",Wisconsin,"55,023"
Juneau,"1,502",Wisconsin,"46,696"
Kenosha,"1,155",Wisconsin,"58,255"
Kewaunee,"1,417",Wisconsin,"57,770"
LaCrosse,"1,525",Wisconsin,"60,463"
Lafayette,"1,587",Wisconsin,"52,048"
Langlade,"1,238",Wisconsin,"50,852"
Lincoln,"1,228",Wisconsin,"53,038"
Manitowoc,"1,212",Wisconsin,"54,592"
Marathon,"1,087",Wisconsin,"59,949"
Marinette,"1,517",Wisconsin,"52,260"
Marquette,"1,516",Wisconsin,"49,041"
Menominee,"1,677",Wisconsin,"41,435"
Milwaukee,"1,938",Wisconsin,"56,188"
Monroe,"1,480",Wisconsin,"50,008"
Oconto,"1,517",Wisconsin,"53,823"
Oneida,"1,287",Wisconsin,"56,013"
Outagamie,"1,693",Wisconsin,"60,352"
Ozaukee,"1,469",Wisconsin,"99,817"
Pepin,"1,494",Wisconsin,"60,146"
Pierce,"1,506",Wisconsin,"58,338"
Polk,"1,506",Wisconsin,"54,302"
Portage,"1,874",Wisconsin,"54,375"
Price,"1,130",Wisconsin,"51,846"
Racine,"1,977",Wisconsin,"57,574"
Richland,"1,515",Wisconsin,"51,382"
Rock,"2,189",Wisconsin,"52,517"
Rusk,"1,111",Wisconsin,"52,712"
Sauk,"1,498",Wisconsin,"67,477"
Sawyer,"1,251",Wisconsin,"62,052"
Shawano,"1,771",Wisconsin,"50,990"
Sheboygan,"1,089",Wisconsin,"50,444"
St.Croix,"1,506",Wisconsin,"60,359"
Taylor,"1,087",Wisconsin,"50,045"
Trempealeau,"1,414",Wisconsin,"51,281"
Vernon,"1,518",Wisconsin,"50,622"
Vilas,"1,287",Wisconsin,"59,807"
Walworth,"1,854",Wisconsin,"62,828"
Washburn,"1,377",Wisconsin,"55,362"
Washington,"1,372",Wisconsin,"68,705"
Waukesha,"1,816",Wisconsin,"87,582"
Waupaca,"2,373",Wisconsin,"54,632"
Waushara,"1,576",Wisconsin,"46,697"
Winnebago,"1,312",Wisconsin,"56,878"
Wood,"1,087",Wisconsin,"53,162"
